number,title,url,pdf_file,parent_chain,has_children
01.03.07,Resolving problems when starting resources,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=problems-resolving-when-starting-resources,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.07 - Resolving problems when starting resources.pdf,"['Troubleshooting and support', 'Dealing with problems']",False
01.03.08,Resolving problems that occur when migrating or importing resources,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=dp-resolving-problems-that-occur-when-migrating-importing-resources,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.08 - Resolving problems that occur when migrating or importing resources.pdf,"['Troubleshooting and support', 'Dealing with problems']",True
01.03.08.01,Resolving problems when migrating or importing message flows,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=resources-resolving-problems-when-migrating-importing-message-flows,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.08 - Resolving problems that occur when migrating or importing resources\01.03.08.01 - Resolving problems when migrating or importing message flows.pdf,"['Troubleshooting and support', 'Dealing with problems', 'Resolving problems that occur when migrating or importing resources']",False
01.03.08.02,Resolving problems when migrating or importing message models,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=resources-resolving-problems-when-migrating-importing-message-models,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.08 - Resolving problems that occur when migrating or importing resources\01.03.08.02 - Resolving problems when migrating or importing message models.pdf,"['Troubleshooting and support', 'Dealing with problems', 'Resolving problems that occur when migrating or importing resources']",False
01.03.08.03,Resolving problems when migrating or importing other resources,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=resources-resolving-problems-when-migrating-importing-other,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.08 - Resolving problems that occur when migrating or importing resources\01.03.08.03 - Resolving problems when migrating or importing other resources.pdf,"['Troubleshooting and support', 'Dealing with problems', 'Resolving problems that occur when migrating or importing resources']",False
01.03.09,Resolving problems when stopping resources,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=problems-resolving-when-stopping-resources,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.09 - Resolving problems when stopping resources.pdf,"['Troubleshooting and support', 'Dealing with problems']",False
01.03.10,Resolving problems when deleting resources,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=problems-resolving-when-deleting-resources,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.10 - Resolving problems when deleting resources.pdf,"['Troubleshooting and support', 'Dealing with problems']",False
01.03.11,Resolving problems when developing message flows,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=problems-resolving-when-developing-message-flows,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.11 - Resolving problems when developing message flows.pdf,"['Troubleshooting and support', 'Dealing with problems']",True
01.03.11.01,Resolving appearance problems when developing message flows,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=flows-resolving-appearance-problems-when-developing-message,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.11 - Resolving problems when developing message flows\01.03.11.01 - Resolving appearance problems when developing message flows.pdf,"['Troubleshooting and support', 'Dealing with problems', 'Resolving problems when developing message flows']",False
01.03.11.02,Resolving problems when you use callable flow nodes,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=rpwdmf-resolving-problems-when-you-use-callable-flow-nodes,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.11 - Resolving problems when developing message flows\01.03.11.02 - Resolving problems when you use callable flow nodes.pdf,"['Troubleshooting and support', 'Dealing with problems', 'Resolving problems when developing message flows']",False
01.03.11.03,Resolving problems when you use CORBA nodes,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=flows-resolving-problems-when-you-use-corba-nodes,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.11 - Resolving problems when developing message flows\01.03.11.03 - Resolving problems when you use CORBA nodes.pdf,"['Troubleshooting and support', 'Dealing with problems', 'Resolving problems when developing message flows']",False
01.03.11.04,Resolving problems when you use Email nodes,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=flows-resolving-problems-when-you-use-email-nodes,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.11 - Resolving problems when developing message flows\01.03.11.04 - Resolving problems when you use Email nodes.pdf,"['Troubleshooting and support', 'Dealing with problems', 'Resolving problems when developing message flows']",False
01.03.11.05,Resolving ESQL problems when developing message flows,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=flows-resolving-esql-problems-when-developing-message,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.11 - Resolving problems when developing message flows\01.03.11.05 - Resolving ESQL problems when developing message flows.pdf,"['Troubleshooting and support', 'Dealing with problems', 'Resolving problems when developing message flows']",False
01.03.11.06,Problems when developing message flows with file nodes,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=flows-problems-when-developing-message-file-nodes,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.11 - Resolving problems when developing message flows\01.03.11.06 - Problems when developing message flows with file nodes.pdf,"['Troubleshooting and support', 'Dealing with problems', 'Resolving problems when developing message flows']",False
01.03.11.07,Resolving problems when you use HTTP and SOAP nodes,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=rpwdmf-resolving-problems-when-you-use-http-soap-nodes,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.11 - Resolving problems when developing message flows\01.03.11.07 - Resolving problems when you use HTTP and SOAP nodes.pdf,"['Troubleshooting and support', 'Dealing with problems', 'Resolving problems when developing message flows']",False
01.03.11.08,Resolving implementation problems when developing message flows,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=flows-resolving-implementation-problems-when-developing-message,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.11 - Resolving problems when developing message flows\01.03.11.08 - Resolving implementation problems when developing message flows.pdf,"['Troubleshooting and support', 'Dealing with problems', 'Resolving problems when developing message flows']",False
01.03.11.09,Resolving problems when you use IMS nodes,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=flows-resolving-problems-when-you-use-ims-nodes,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.11 - Resolving problems when developing message flows\01.03.11.09 - Resolving problems when you use IMS nodes.pdf,"['Troubleshooting and support', 'Dealing with problems', 'Resolving problems when developing message flows']",False
01.03.11.10,Resolving problems when you use Salesforce nodes,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=flows-resolving-problems-when-you-use-salesforce-nodes,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.11 - Resolving problems when developing message flows\01.03.11.10 - Resolving problems when you use Salesforce nodes.pdf,"['Troubleshooting and support', 'Dealing with problems', 'Resolving problems when developing message flows']",False
01.03.11.11,Resolving problems when using Kafka nodes,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=flows-resolving-problems-when-using-kafka-nodes,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.11 - Resolving problems when developing message flows\01.03.11.11 - Resolving problems when using Kafka nodes.pdf,"['Troubleshooting and support', 'Dealing with problems', 'Resolving problems when developing message flows']",False
01.03.11.12,Resolving mapping and message reference problems when developing message flows,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=rpwdmf-resolving-mapping-message-reference-problems-when-developing-message-flows,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.11 - Resolving problems when developing message flows\01.03.11.12 - Resolving mapping and message reference problems when developing message flows.pdf,"['Troubleshooting and support', 'Dealing with problems', 'Resolving problems when developing message flows']",False
01.03.11.13,Resolving trace problems when developing message flows,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=flows-resolving-trace-problems-when-developing-message,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.11 - Resolving problems when developing message flows\01.03.11.13 - Resolving trace problems when developing message flows.pdf,"['Troubleshooting and support', 'Dealing with problems', 'Resolving problems when developing message flows']",False
01.03.11.14,Resolving problems when developing message flows with WebSphere Adapters nodes,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=rpwdmf-resolving-problems-when-developing-message-flows-websphere-adapters-nodes,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.11 - Resolving problems when developing message flows\01.03.11.14 - Resolving problems when developing message flows with WebSphere Adapters nodes.pdf,"['Troubleshooting and support', 'Dealing with problems', 'Resolving problems when developing message flows']",False
01.03.11.15,Resolving other problems when developing message flows,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=flows-resolving-other-problems-when-developing-message,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.11 - Resolving problems when developing message flows\01.03.11.15 - Resolving other problems when developing message flows.pdf,"['Troubleshooting and support', 'Dealing with problems', 'Resolving problems when developing message flows']",False
01.03.12,Resolving problems when deploying message flows or message sets,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=dp-resolving-problems-when-deploying-message-flows-message-sets,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.12 - Resolving problems when deploying message flows or message sets.pdf,"['Troubleshooting and support', 'Dealing with problems']",True
01.03.12.01,Resolving problems that occur when preparing to deploy message flows,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=rpwdmfms-resolving-problems-that-occur-when-preparing-deploy-message-flows,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.12 - Resolving problems when deploying message flows or message sets\01.03.12.01 - Resolving problems that occur when preparing to deploy message flows.pdf,"['Troubleshooting and support', 'Dealing with problems', 'Resolving problems when deploying message flows or message sets']",False
01.03.12.02,Resolving problems that occur during deployment of message flows,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=rpwdmfms-resolving-problems-that-occur-during-deployment-message-flows,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.12 - Resolving problems when deploying message flows or message sets\01.03.12.02 - Resolving problems that occur during deployment of message flows.pdf,"['Troubleshooting and support', 'Dealing with problems', 'Resolving problems when deploying message flows or message sets']",False
01.03.12.03,Resolving problems that occur after deployment of message flows,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=rpwdmfms-resolving-problems-that-occur-after-deployment-message-flows,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.12 - Resolving problems when deploying message flows or message sets\01.03.12.03 - Resolving problems that occur after deployment of message flows.pdf,"['Troubleshooting and support', 'Dealing with problems', 'Resolving problems when deploying message flows or message sets']",False
01.03.13,Resolving problems that occur when debugging message flows,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=dp-resolving-problems-that-occur-when-debugging-message-flows,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.13 - Resolving problems that occur when debugging message flows.pdf,"['Troubleshooting and support', 'Dealing with problems']",True
01.03.13.01,Resolving problems that occur when starting and stopping the debugger,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=rptowdmf-resolving-problems-that-occur-when-starting-stopping-debugger,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.13 - Resolving problems that occur when debugging message flows\01.03.13.01 - Resolving problems that occur when starting and stopping the debugger.pdf,"['Troubleshooting and support', 'Dealing with problems', 'Resolving problems that occur when debugging message flows']",False
01.03.13.02,Resolving problems when debugging message flows,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=flows-resolving-problems-when-debugging-message,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.13 - Resolving problems that occur when debugging message flows\01.03.13.02 - Resolving problems when debugging message flows.pdf,"['Troubleshooting and support', 'Dealing with problems', 'Resolving problems that occur when debugging message flows']",False
01.03.13.03,Resolving problems that occur after debugging:,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=flows-resolving-problems-that-occur-after-debugging,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.13 - Resolving problems that occur when debugging message flows\01.03.13.03 - Resolving problems that occur after debugging_.pdf,"['Troubleshooting and support', 'Dealing with problems', 'Resolving problems that occur when debugging message flows']",False
01.03.14,Resolving diagnostic data collection errors,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=problems-resolving-diagnostic-data-collection-errors,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.14 - Resolving diagnostic data collection errors.pdf,"['Troubleshooting and support', 'Dealing with problems']",False
01.03.15,Resolving problems when developing message models,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=problems-resolving-when-developing-message-models,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.15 - Resolving problems when developing message models.pdf,"['Troubleshooting and support', 'Dealing with problems']",False
01.03.16,Resolving problems when using messages,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=problems-resolving-when-using-messages,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.16 - Resolving problems when using messages.pdf,"['Troubleshooting and support', 'Dealing with problems']",False
01.03.17,Resolving problems when you are writing business rules,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=dp-resolving-problems-when-you-are-writing-business-rules,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.17 - Resolving problems when you are writing business rules.pdf,"['Troubleshooting and support', 'Dealing with problems']",False
01.03.18,Resolving problems when you use the IBM App Connect Enterprise Toolkit,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=dp-resolving-problems-when-you-use-app-connect-enterprise-toolkit,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.18 - Resolving problems when you use the IBM App Connect Enterprise Toolkit.pdf,"['Troubleshooting and support', 'Dealing with problems']",True
01.03.18.01,Resolving problems that occur when connecting the IBM App Connect Enterprise Toolkit and an integration node,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=rpwyuacet-resolving-problems-that-occur-when-connecting-app-connect-enterprise-toolkit-integration-node,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.18 - Resolving problems when you use the IBM App Connect Enterprise Toolkit\01.03.18.01 - Resolving problems that occur when connecting the IBM App Connect Enterprise Toolkit and an integration node.pdf,"['Troubleshooting and support', 'Dealing with problems', 'Resolving problems when you use the IBM App Connect Enterprise Toolkit']",False
01.03.18.02,Resolving errors that occur when using the IBM App Connect Enterprise Toolkit,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=rpwyuacet-resolving-errors-that-occur-when-using-app-connect-enterprise-toolkit,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.18 - Resolving problems when you use the IBM App Connect Enterprise Toolkit\01.03.18.02 - Resolving errors that occur when using the IBM App Connect Enterprise Toolkit.pdf,"['Troubleshooting and support', 'Dealing with problems', 'Resolving problems when you use the IBM App Connect Enterprise Toolkit']",False
01.03.18.03,Resolving problems relating to the appearance of IBM App Connect Enterprise Toolkit,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=rpwyuacet-resolving-problems-relating-appearance-app-connect-enterprise-toolkit,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.18 - Resolving problems when you use the IBM App Connect Enterprise Toolkit\01.03.18.03 - Resolving problems relating to the appearance of IBM App Connect Enterprise Toolkit.pdf,"['Troubleshooting and support', 'Dealing with problems', 'Resolving problems when you use the IBM App Connect Enterprise Toolkit']",False
01.03.18.04,Resolving non-specific problems when using the IBM App Connect Enterprise Toolkit,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=rpwyuacet-resolving-non-specific-problems-when-using-app-connect-enterprise-toolkit,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.18 - Resolving problems when you use the IBM App Connect Enterprise Toolkit\01.03.18.04 - Resolving non-specific problems when using the IBM App Connect Enterprise Toolkit.pdf,"['Troubleshooting and support', 'Dealing with problems', 'Resolving problems when you use the IBM App Connect Enterprise Toolkit']",False
01.03.19,Resolving problems when using Data Analysis,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=problems-resolving-when-using-data-analysis,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.19 - Resolving problems when using Data Analysis.pdf,"['Troubleshooting and support', 'Dealing with problems']",False
01.03.20,Resolving problems when using databases,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=problems-resolving-when-using-databases,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.20 - Resolving problems when using databases.pdf,"['Troubleshooting and support', 'Dealing with problems']",False
01.03.21,Resolving problems when using publish/subscribe,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=problems-resolving-when-using-publishsubscribe,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.21 - Resolving problems when using publish_subscribe.pdf,"['Troubleshooting and support', 'Dealing with problems']",False
01.03.22,Resolving problems with performance,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=problems-resolving-performance,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.22 - Resolving problems with performance.pdf,"['Troubleshooting and support', 'Dealing with problems']",False
01.03.23,Resolving problems when you monitor message flows,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=problems-resolving-when-you-monitor-message-flows,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.23 - Resolving problems when you monitor message flows.pdf,"['Troubleshooting and support', 'Dealing with problems']",False
01.03.24,Resolving problems when developing custom integration applications,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=problems-resolving-when-developing-custom-integration-applications,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.24 - Resolving problems when developing custom integration applications.pdf,"['Troubleshooting and support', 'Dealing with problems']",False
01.03.25,Resolving problems when using an MQ Service,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=problems-resolving-when-using-mq-service,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.25 - Resolving problems when using an MQ Service.pdf,"['Troubleshooting and support', 'Dealing with problems']",False
01.03.26,Resolving problems with user-defined extensions,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=problems-resolving-user-defined-extensions,01 - Troubleshooting and support\01.03 - Dealing with problems\01.03.26 - Resolving problems with user-defined extensions.pdf,"['Troubleshooting and support', 'Dealing with problems']",False
01.04,Resolving problems when creating secured connections that use GSKit libraries,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=ts-resolving-problems-when-creating-secured-connections-that-use-gskit-libraries,01 - Troubleshooting and support\01.04 - Resolving problems when creating secured connections that use GSKit libraries.pdf,['Troubleshooting and support'],False
01.05,Using logs,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=support-using-logs,01 - Troubleshooting and support\01.05 - Using logs.pdf,['Troubleshooting and support'],True
01.05.01,Windows: Viewing the local error log,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=logs-windows-viewing-local-error-log,01 - Troubleshooting and support\01.05 - Using logs\01.05.01 - Windows_ Viewing the local error log.pdf,"['Troubleshooting and support', 'Using logs']",False
01.05.02,Linux and UNIX systems: Configuring the syslog daemon,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=logs-linux-unix-systems-configuring-syslog-daemon,01 - Troubleshooting and support\01.05 - Using logs\01.05.02 - Linux and UNIX systems_ Configuring the syslog daemon.pdf,"['Troubleshooting and support', 'Using logs']",False
01.05.03,Viewing the Eclipse error log,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=logs-viewing-eclipse-error-log,01 - Troubleshooting and support\01.05 - Using logs\01.05.03 - Viewing the Eclipse error log.pdf,"['Troubleshooting and support', 'Using logs']",False
01.05.04,Viewing the exception log,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=logs-viewing-exception-log,01 - Troubleshooting and support\01.05 - Using logs\01.05.04 - Viewing the exception log.pdf,"['Troubleshooting and support', 'Using logs']",False
01.06,Using ACELogAnalyser,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=support-using-aceloganalyser,01 - Troubleshooting and support\01.06 - Using ACELogAnalyser.pdf,['Troubleshooting and support'],False
01.07,Using trace,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=support-using-trace,01 - Troubleshooting and support\01.07 - Using trace.pdf,['Troubleshooting and support'],True
01.07.01,User trace,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=trace-user,01 - Troubleshooting and support\01.07 - Using trace\01.07.01 - User trace.pdf,"['Troubleshooting and support', 'Using trace']",True
01.07.01.01,Starting user trace,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=trace-starting-user,01 - Troubleshooting and support\01.07 - Using trace\01.07.01 - User trace\01.07.01.01 - Starting user trace.pdf,"['Troubleshooting and support', 'Using trace', 'User trace']",False
01.07.01.02,Changing user trace options,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=trace-changing-user-options,01 - Troubleshooting and support\01.07 - Using trace\01.07.01 - User trace\01.07.01.02 - Changing user trace options.pdf,"['Troubleshooting and support', 'Using trace', 'User trace']",False
01.07.01.03,Stopping user trace,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=trace-stopping-user,01 - Troubleshooting and support\01.07 - Using trace\01.07.01 - User trace\01.07.01.03 - Stopping user trace.pdf,"['Troubleshooting and support', 'Using trace', 'User trace']",False
01.07.01.04,User trace example,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=trace-user-example,01 - Troubleshooting and support\01.07 - Using trace\01.07.01 - User trace\01.07.01.04 - User trace example.pdf,"['Troubleshooting and support', 'Using trace', 'User trace']",False
01.07.02,Service trace,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=trace-service,01 - Troubleshooting and support\01.07 - Using trace\01.07.02 - Service trace.pdf,"['Troubleshooting and support', 'Using trace']",True
01.07.02.01,Starting service trace,https://www.ibm.com/docs/en/app-connect/13.0.x?topic=trace-starting-service,01 - Troubleshooting and support\01.07 - Using trace\01.07.02 - Service trace\01.07.02.01 - Starting service trace.pdf,"['Troubleshooting and support', 'Using trace', 'Service trace']",False
